,year,location
0,1946,Bolivia
1,1952,Bolivia
2,1967,Bolivia
3,1946,Cambodia
4,1947,Cambodia
5,1948,Cambodia
6,1949,Cambodia
7,1950,Cambodia
8,1951,Cambodia
9,1952,Cambodia
10,1953,Cambodia
11,1946,China
12,1947,China
13,1948,China
14,1949,China
15,1946,Greece
16,1947,Greece
17,1948,Greece
18,1949,Greece
19,1946,Indonesia
20,1947,Indonesia
21,1948,Indonesia
22,1949,Indonesia
23,1946,Iran
24,1966,Iran
25,1967,Iran
26,1968,Iran
27,1979,Iran
28,1980,Iran
29,1981,Iran
30,1982,Iran
31,1983,Iran
32,1984,Iran
33,1985,Iran
34,1986,Iran
35,1987,Iran
36,1988,Iran
37,1990,Iran
38,1993,Iran
39,1996,Iran
40,2016,Iran
42,1946,Israel
43,1946,Laos
44,1947,Laos
45,1948,Laos
46,1949,Laos
47,1950,Laos
48,1951,Laos
49,1952,Laos
50,1953,Laos
51,1946,Philippines
52,1947,Philippines
53,1948,Philippines
54,1949,Philippines
55,1950,Philippines
56,1951,Philippines
57,1952,Philippines
58,1953,Philippines
59,1954,Philippines
60,1969,Philippines
61,1970,Philippines
62,1971,Philippines
63,1972,Philippines
64,1973,Philippines
65,1974,Philippines
66,1975,Philippines
67,1976,Philippines
68,1977,Philippines
69,1978,Philippines
70,1979,Philippines
71,1980,Philippines
72,1981,Philippines
73,1982,Philippines
74,1983,Philippines
75,1984,Philippines
76,1985,Philippines
77,1986,Philippines
78,1987,Philippines
80,1988,Philippines
81,1989,Philippines
83,1990,Philippines
85,1991,Philippines
86,1992,Philippines
87,1993,Philippines
88,1994,Philippines
89,1995,Philippines
90,1997,Philippines
91,1999,Philippines
92,2000,Philippines
93,2001,Philippines
94,2002,Philippines
95,2003,Philippines
96,2004,Philippines
97,2005,Philippines
98,2006,Philippines
99,2007,Philippines
100,2008,Philippines
101,2009,Philippines
102,2010,Philippines
103,2011,Philippines
104,2012,Philippines
105,2013,Philippines
106,2014,Philippines
107,2015,Philippines
108,2016,Philippines
109,1946,Russia
110,1947,Russia
111,1948,Russia
120,1949,Russia
121,1950,Russia
122,1946,France
123,1946,Thailand
124,1946,Albania
125,1946,United Kingdom
126,1946,Vietnam
127,1947,Vietnam
128,1948,Vietnam
129,1949,Vietnam
130,1950,Vietnam
131,1951,Vietnam
132,1952,Vietnam
133,1953,Vietnam
134,1954,Vietnam
136,1948,India
137,1948,Pakistan
138,1964,India
139,1964,Pakistan
140,1965,India
141,1965,Pakistan
142,1971,India
143,1971,Pakistan
144,1984,India
145,1984,Pakistan
146,1987,India
147,1987,Pakistan
148,1989,India
149,1989,Pakistan
150,1990,India
151,1990,Pakistan
152,1991,India
153,1991,Pakistan
154,1992,India
155,1992,Pakistan
156,1996,India
157,1996,Pakistan
158,1997,India
159,1997,Pakistan
160,1998,India
161,1998,Pakistan
162,1999,India
163,1999,Pakistan
164,2000,India
165,2000,Pakistan
166,2001,India
167,2001,Pakistan
168,2002,India
169,2002,Pakistan
170,2003,India
171,2003,Pakistan
172,2014,India
173,2014,Pakistan
174,2015,India
175,2015,Pakistan
176,2016,India
177,2016,Pakistan
178,1947,Madagascar
179,1947,Paraguay
180,1954,Paraguay
181,1989,Paraguay
182,1949,Myanmar
183,1950,Myanmar
184,1951,Myanmar
185,1952,Myanmar
186,1953,Myanmar
187,1954,Myanmar
188,1955,Myanmar
189,1956,Myanmar
190,1957,Myanmar
191,1958,Myanmar
192,1959,Myanmar
193,1960,Myanmar
194,1961,Myanmar
195,1962,Myanmar
196,1963,Myanmar
197,1964,Myanmar
198,1965,Myanmar
199,1966,Myanmar
201,1967,Myanmar
203,1968,Myanmar
205,1969,Myanmar
207,1970,Myanmar
209,1971,Myanmar
211,1972,Myanmar
213,1973,Myanmar
215,1974,Myanmar
217,1975,Myanmar
219,1976,Myanmar
220,1977,Myanmar
221,1978,Myanmar
222,1979,Myanmar
223,1980,Myanmar
224,1981,Myanmar
225,1982,Myanmar
226,1983,Myanmar
227,1984,Myanmar
228,1985,Myanmar
229,1986,Myanmar
230,1987,Myanmar
231,1988,Myanmar
232,1989,Myanmar
233,1990,Myanmar
234,1991,Myanmar
235,1992,Myanmar
236,1994,Myanmar
237,1995,Myanmar
238,1997,Myanmar
239,1998,Myanmar
240,2000,Myanmar
242,2001,Myanmar
243,2002,Myanmar
244,2003,Myanmar
245,2004,Myanmar
246,2005,Myanmar
247,2006,Myanmar
248,2007,Myanmar
249,2008,Myanmar
250,2009,Myanmar
251,2010,Myanmar
253,2011,Myanmar
255,2013,Myanmar
256,1948,Myanmar
363,2016,Myanmar
380,1996,Myanmar
381,1948,Costa Rica
382,1948,Hyderabad
385,1949,India
386,1950,India
387,1951,India
388,1969,India
389,1970,India
393,1993,India
394,1994,India
409,2004,India
411,2005,India
412,2006,India
413,2007,India
414,2008,India
415,2009,India
416,2010,India
417,2011,India
418,2012,India
419,2013,India
423,1948,Israel
424,1948,Egypt
425,1948,Iraq
426,1948,Jordan
427,1948,Lebanon
428,1948,Syria
429,1949,Israel
430,1949,Egypt
431,1949,Iraq
432,1949,Jordan
433,1949,Lebanon
434,1949,Syria
435,1948,Malaysia
436,1949,Malaysia
437,1950,Malaysia
438,1951,Malaysia
439,1952,Malaysia
440,1953,Malaysia
441,1954,Malaysia
442,1955,Malaysia
443,1956,Malaysia
444,1957,Malaysia
445,1948,Yemen
446,1962,Yemen
447,1963,Yemen
448,1964,Yemen
449,1965,Yemen
450,1966,Yemen
451,1967,Yemen
452,1968,Yemen
453,1969,Yemen
454,1970,Yemen
455,1979,Yemen
456,1980,Yemen
457,1981,Yemen
458,1982,Yemen
459,2009,Yemen
460,2010,Yemen
461,2011,Yemen
462,2012,Yemen
463,2013,Yemen
464,2014,Yemen
466,2015,Yemen
469,2016,Yemen
505,2012,Myanmar
507,2014,Myanmar
508,2015,Myanmar
511,1949,Taiwan
512,1950,China
513,1950,Taiwan
514,1954,China
515,1954,Taiwan
516,1958,China
517,1958,Taiwan
518,1949,Guatemala
519,1954,Guatemala
520,1963,Guatemala
521,1965,Guatemala
522,1966,Guatemala
523,1967,Guatemala
524,1968,Guatemala
525,1969,Guatemala
526,1970,Guatemala
528,1971,Guatemala
530,1972,Guatemala
532,1973,Guatemala
534,1974,Guatemala
536,1975,Guatemala
538,1976,Guatemala
540,1977,Guatemala
542,1978,Guatemala
544,1979,Guatemala
547,1980,Guatemala
550,1981,Guatemala
554,1982,Guatemala
555,1983,Guatemala
556,1984,Guatemala
557,1985,Guatemala
558,1986,Guatemala
559,1987,Guatemala
560,1988,Guatemala
561,1989,Guatemala
562,1990,Guatemala
563,1991,Guatemala
564,1992,Guatemala
565,1993,Guatemala
566,1994,Guatemala
567,1995,Guatemala
569,1950,Israel
570,1951,Israel
571,1952,Israel
572,1953,Israel
573,1954,Israel
574,1955,Israel
575,1956,Israel
576,1957,Israel
577,1958,Israel
578,1959,Israel
579,1960,Israel
580,1961,Israel
581,1962,Israel
582,1963,Israel
583,1964,Israel
584,1965,Israel
586,1966,Israel
588,1967,Israel
590,1968,Israel
592,1969,Israel
594,1970,Israel
596,1971,Israel
598,1972,Israel
600,1973,Israel
602,1974,Israel
604,1975,Israel
606,1976,Israel
608,1977,Israel
610,1978,Israel
612,1979,Israel
614,1980,Israel
616,1981,Israel
618,1982,Israel
620,1983,Israel
622,1984,Israel
624,1985,Israel
626,1986,Israel
628,1987,Israel
630,1988,Israel
632,1989,Israel
634,1990,Israel
635,1991,Israel
636,1992,Israel
