,year,country,Tools,Vehicles,Weapons,Prom Tools,Prom Vehicles,Prom Weapons,amount,conflict,conflict-1-to-3,conflict-4-to-6,conflict-7-to-9,Prom USA,country encoded
0,1946,Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,21
1,1952,Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,21
2,1967,Bolivia,0.0,53.0,24.0,0.0,9.333333333333334,0.0,0.0,1,0,0,0,0.0,21
3,1946,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,30
4,1947,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,30
5,1948,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,30
6,1949,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,30
7,1950,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.0,30
8,1951,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.0,30
9,1952,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.0,30
10,1953,Cambodia,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,30
11,1946,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,37
12,1947,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,37
13,1948,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,37
14,1949,China,0.0,5200.0,3000.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,37
15,1946,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,70
16,1947,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,70
17,1948,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,70
18,1949,Greece,0.0,105.0,587.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,70
19,1946,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,83
20,1947,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,83
21,1948,Indonesia,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,83
22,1949,Indonesia,0.0,7.0,0.0,0.0,3.0,0.0,0.0,1,1,0,0,0.0,83
23,1946,Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,84
24,1966,Iran,8.0,176.0,3721.0,1.3333333333333333,75.66666666666667,108.33333333333333,0.0,1,0,0,0,0.0,84
25,1967,Iran,0.0,51.0,1065.0,3.3333333333333335,102.66666666666667,1348.6666666666667,0.0,1,1,0,0,0.0,84
26,1968,Iran,0.0,542.0,0.0,3.3333333333333335,77.0,1703.6666666666667,0.0,1,1,0,0,0.0,84
27,1979,Iran,0.0,5.0,0.0,0.0,111.66666666666667,10401.666666666666,0.0,1,0,1,0,0.0,84
28,1980,Iran,0.0,130.0,0.0,0.0,12.666666666666666,8.333333333333334,0.0,1,1,1,0,0.0,84
29,1981,Iran,0.0,856.0,2600.0,0.0,46.666666666666664,8.333333333333334,0.0,1,1,0,1,0.0,84
30,1982,Iran,0.0,326.0,6700.0,0.0,330.3333333333333,866.6666666666666,0.0,1,1,0,1,0.0,84
31,1983,Iran,35.0,53.0,480.0,0.0,437.3333333333333,3100.0,0.0,1,1,1,1,0.0,84
32,1984,Iran,0.0,3.0,500.0,11.666666666666666,411.6666666666667,3260.0,0.0,1,1,1,0,0.0,84
33,1985,Iran,0.0,58.0,1939.0,11.666666666666666,127.33333333333333,2560.0,0.0,1,1,1,0,0.0,84
34,1986,Iran,0.0,903.0,7677.0,11.666666666666666,38.0,973.0,0.0,1,1,1,1,0.0,84
35,1987,Iran,0.0,212.0,0.0,0.0,321.3333333333333,3372.0,0.0,1,1,1,1,0.0,84
36,1988,Iran,25.0,25.0,100.0,0.0,391.0,3205.3333333333335,0.0,1,1,1,1,0.0,84
37,1990,Iran,0.0,182.0,115.0,8.333333333333334,173.0,383.3333333333333,0.0,1,1,1,1,0.0,84
38,1993,Iran,304.0,124.0,1100.0,0.3333333333333333,351.3333333333333,245.33333333333334,0.0,1,1,1,1,0.0,84
39,1996,Iran,3.0,0.0,150.0,101.33333333333333,45.666666666666664,407.3333333333333,0.0,1,1,1,1,0.0,84
40,2016,Iran,0.0,0.0,0.0,0.6666666666666666,0.0,51.333333333333336,0.0,1,0,1,1,106.33333333333333,84
41,1946,Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,87
42,1946,Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,99
43,1947,Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,99
44,1948,Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,99
45,1949,Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,99
46,1950,Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.0,99
47,1951,Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.0,99
48,1952,Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.0,99
