,country,year,Tools,Vehicles,Weapons,Prom Tools,Prom Vehicles,Prom Weapons,amount,conflict,conflict-1-to-3,conflict-4-to-6,conflict-7-to-9,Prom USA,country encoded
2,Afghanistan,1958,0.0,50.0,450.0,0.0,72.0,0.0,,,True,,,0.0,0
3,Afghanistan,1960,0.0,74.0,200.0,0.0,16.666666666666668,150.0,,,True,True,,0.0,0
4,Afghanistan,1961,0.0,100.0,250.0,0.0,41.333333333333336,216.66666666666663,,,True,True,,0.0,0
5,Afghanistan,1963,0.0,36.0,100.0,0.0,58.0,150.0,,,True,True,True,0.0,0
7,Afghanistan,1965,2.0,50.0,406.0,6.0,12.0,33.333333333333336,,,True,True,True,0.0,0
10,Afghanistan,1970,0.0,92.0,250.0,0.0,0.6666666666666666,0.0,,,True,True,True,0.0,0
15,Afghanistan,1978,0.0,896.0,1458.0,8.666666666666666,20.666666666666668,0.0,,True,True,True,True,0.0,0
16,Afghanistan,1979,0.0,792.0,7408.0,8.666666666666666,319.3333333333333,486.0,,True,True,True,True,0.0,0
17,Afghanistan,1980,0.0,90.0,1000.0,8.666666666666666,571.3333333333334,2955.333333333333,,True,True,True,True,0.0,0
21,Afghanistan,1985,0.0,36.0,125.0,0.3333333333333333,20.33333333333333,2.6666666666666665,,True,True,True,True,0.0,0
22,Afghanistan,1986,0.0,89.0,400.0,0.3333333333333333,32.333333333333336,41.66666666666666,,True,True,True,True,0.0,0
23,Afghanistan,1987,0.0,193.0,1722.0,0.3333333333333333,62.0,175.0,,True,True,True,True,0.0,0
24,Afghanistan,1988,0.0,2396.0,1075.0,0.0,106.0,749.0,,True,True,True,True,0.0,0
27,Afghanistan,2004,6.0,4.0,188.0,0.0,3.0,0.0,1119611734.0,True,True,True,,233203210.66666663,0
28,Afghanistan,2006,0.0,800.0,24.0,2.0,1.3333333333333333,62.66666666666666,2207266814.0,True,True,True,,1448110865.6666667,0
29,Afghanistan,2007,0.0,25.0,24.0,2.0,268.0,70.66666666666667,8591783138.0,True,True,True,True,2027584188.0,0
30,Afghanistan,2008,0.0,4751.0,159.0,0.0,275.0,16.0,3789982423.0,True,True,True,True,4518307989.333333,0
31,Afghanistan,2009,0.0,6.0,60.0,0.0,1858.666666666667,69.0,6292686219.0,True,True,True,True,4863010791.666667,0
33,Afghanistan,2011,0.0,803.0,281.0,0.0,3859.333333333334,73.0,11411254431.0,True,True,True,True,6702407161.0,0
34,Afghanistan,2012,0.0,25.0,227.0,0.0,2543.333333333333,113.66666666666669,9937131505.0,True,True,True,True,9242831163.666666,0
35,Afghanistan,2013,20.0,62.0,135.0,0.0,2549.6666666666665,169.33333333333334,5889440449.0,True,True,True,True,10457646259.0,0
36,Afghanistan,2014,0.0,12.0,222.0,6.666666666666668,296.6666666666667,214.33333333333331,4572803062.0,True,True,True,True,9079275461.666666,0
37,Afghanistan,2015,0.0,81.0,55.0,6.666666666666668,33.0,194.66666666666663,4511934505.0,True,True,True,True,6799791672.0,0
39,Afghanistan,2017,6.0,269.0,55.0,0.0,750.6666666666665,92.33333333333331,4486515000.0,,True,True,True,4428502722.333333,0
45,Albania,1955,28.0,152.0,56.0,0.0,13.333333333333336,258.3333333333333,,,True,True,,0.0,1
46,Albania,1956,0.0,9.0,300.0,9.333333333333334,64.0,18.666666666666668,,,True,True,True,0.0,1
54,Albania,1964,0.0,17.0,400.0,0.0,43.33333333333334,0.0,,,True,True,True,0.0,1
55,Albania,1965,0.0,721.0,450.0,0.0,45.33333333333334,133.33333333333334,,,True,True,True,0.0,1
60,Albania,1970,0.0,35.0,152.0,0.0,14.666666666666664,120.0,,,True,True,True,0.0,1
71,Algeria,1961,0.0,45.0,100.0,0.0,0.0,0.0,,True,,,,0.0,2
72,Algeria,1962,2.0,153.0,120.0,0.0,15.0,33.333333333333336,,True,True,,,0.0,2
73,Algeria,1963,0.0,162.0,400.0,0.6666666666666666,66.0,73.33333333333333,,True,True,,,0.0,2
75,Algeria,1965,34.0,198.0,540.0,0.6666666666666666,134.33333333333334,173.33333333333337,,,True,True,,0.0,2
76,Algeria,1966,0.0,206.0,50.0,11.333333333333336,149.33333333333334,313.3333333333333,,,True,True,,0.0,2
81,Algeria,1972,0.0,34.0,1000.0,0.0,10.333333333333334,66.66666666666667,,,True,True,True,0.0,2
84,Algeria,1975,0.0,27.0,75.0,4.0,40.0,3333.333333333333,,,True,True,True,0.0,2
85,Algeria,1976,10.0,153.0,1300.0,4.0,37.66666666666666,3025.0,,,True,True,True,0.0,2
86,Algeria,1977,3.0,447.0,715.0,7.333333333333332,88.66666666666669,458.33333333333326,,,True,True,True,0.0,2
87,Algeria,1978,18.0,1103.0,1452.0,4.333333333333333,209.0,696.6666666666665,,,True,True,True,0.0,2
88,Algeria,1979,0.0,203.0,125.0,10.333333333333334,567.6666666666666,1155.6666666666667,,,True,True,True,0.0,2
89,Algeria,1980,0.0,53.0,600.0,7.0,584.3333333333334,764.0,,,True,True,True,0.0,2
90,Algeria,1981,0.0,72.0,182.0,6.0,453.0,725.6666666666665,,,True,True,True,0.0,2
91,Algeria,1982,8.0,3.0,905.0,0.0,109.33333333333331,302.3333333333333,,,True,True,True,0.0,2
92,Algeria,1983,12.0,11.0,66.0,2.6666666666666665,42.66666666666666,562.3333333333334,,,True,True,True,0.0,2
94,Algeria,1985,0.0,42.0,40.0,6.666666666666668,5.333333333333333,323.6666666666667,,,True,True,True,0.0,2
95,Algeria,1986,0.0,49.0,79.0,4.0,18.33333333333333,35.333333333333336,,,True,True,True,0.0,2
