,location,year
0,Iran,1996
1,Iran,2016
2,Philippines,1997
3,Philippines,1999
4,Philippines,2000
5,Philippines,2001
6,Philippines,2002
7,Philippines,2003
8,Philippines,2004
9,Philippines,2005
10,Philippines,2006
11,Philippines,2007
12,Philippines,2008
13,Philippines,2009
14,Philippines,2010
15,Philippines,2011
16,Philippines,2012
17,Philippines,2013
18,Philippines,2014
19,Philippines,2015
20,Philippines,2016
21,India,1996
22,India,1997
23,India,1998
24,India,1999
25,India,2000
26,India,2001
27,India,2002
28,India,2003
29,India,2014
30,India,2015
31,India,2016
32,Myanmar,1997
33,Myanmar,1998
34,Myanmar,2000
35,Myanmar,2001
36,Myanmar,2002
37,Myanmar,2003
38,Myanmar,2004
39,Myanmar,2005
40,Myanmar,2006
41,Myanmar,2007
42,Myanmar,2008
43,Myanmar,2009
44,Myanmar,2010
45,Myanmar,2011
46,Myanmar,2013
47,Myanmar,2016
48,Myanmar,1996
49,India,2004
50,India,2005
51,India,2006
52,India,2007
53,India,2008
54,India,2009
55,India,2010
56,India,2011
57,India,2012
58,India,2013
59,Yemen,2009
60,Yemen,2010
61,Yemen,2011
62,Yemen,2012
63,Yemen,2013
64,Yemen,2014
65,Yemen,2015
66,Yemen,2016
67,Myanmar,2012
68,Myanmar,2014
69,Myanmar,2015
70,Israel,1996
71,Israel,2000
72,Israel,2001
73,Israel,2002
74,Israel,2003
75,Israel,2004
76,Israel,2005
77,Israel,2006
78,Israel,2007
79,Israel,2008
80,Israel,2009
81,Israel,2010
82,Israel,2011
83,Israel,2012
84,Israel,2014
85,Iraq,1996
86,Iraq,2004
87,Iraq,2005
88,Iraq,2006
89,Iraq,2007
90,Iraq,2008
91,Iraq,2009
92,Iraq,2010
93,Iraq,2011
94,Iraq,2012
95,Iraq,2013
96,Iraq,2014
97,Iraq,2015
98,Iraq,2016
99,Myanmar,1999
100,Congo,2013
101,Congo,2014
102,Nepal,1996
103,Nepal,1997
104,Nepal,1998
105,Nepal,1999
106,Nepal,2000
107,Nepal,2001
108,Nepal,2002
109,Nepal,2003
110,Nepal,2004
111,Nepal,2005
112,Nepal,2006
113,Congo,1996
114,Congo,1997
115,Congo,1998
116,Congo,1999
117,Congo,2000
118,Congo,2001
119,Congo,2006
120,Congo,2007
121,Congo,2008
122,Congo,2011
123,Congo,2012
